B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,NDWI,NDMI,class
0.486300,0.253600,0.350000,0.321800,0.711100,1.203900,1.464700,1.536100,1.572800,1.663300,0.653587,-0.628864,-0.011805,1.000000
0.413500,0.231300,0.336200,0.291000,0.574100,1.180300,1.447700,1.539400,1.518400,1.566300,0.682037,-0.641501,0.006868,1.000000
0.532100,0.215000,0.340800,0.284400,0.586500,1.105600,1.269400,1.361200,1.291700,1.629900,0.654351,-0.599530,0.026198,1.000000
0.454200,0.184800,0.268700,0.239200,0.532100,1.108200,1.262200,1.485700,1.340800,1.464700,0.722651,-0.693684,0.051265,1.000000
0.454200,0.184800,0.268700,0.239200,0.532100,1.108200,1.262200,1.485700,1.340800,1.464700,0.722651,-0.693684,0.051265,1.000000
0.451500,0.184800,0.310600,0.258200,0.516400,1.099700,1.306800,1.523000,1.409700,1.534200,0.710083,-0.661213,0.038633,1.000000
0.451500,0.184800,0.310600,0.258200,0.516400,1.099700,1.306800,1.523000,1.409700,1.534200,0.710083,-0.661213,0.038633,1.000000
0.292300,0.288400,0.498700,0.460700,0.786400,1.160000,1.251100,1.291700,1.287800,1.395900,0.474207,-0.442918,0.001512,1.000000
0.249700,0.215600,0.374200,0.345400,0.724200,1.033500,1.082600,1.148800,1.122000,1.336300,0.537679,-0.508601,0.011802,1.000000
0.249700,0.215600,0.374200,0.345400,0.724200,1.033500,1.082600,1.148800,1.122000,1.336300,0.537679,-0.508601,0.011802,1.000000
0.245800,0.299500,0.449600,0.429300,0.785800,1.095100,1.144900,1.213100,1.205800,1.314600,0.477228,-0.459193,0.003018,1.000000
0.303400,0.255600,0.393200,0.341400,0.584600,1.012500,1.160000,1.246500,1.244500,1.310000,0.569998,-0.520400,8.028904E-4,1.000000
0.268700,0.254900,0.392600,0.342100,0.620000,1.032200,1.164600,1.279900,1.255000,1.245200,0.578175,-0.530523,0.009823,1.000000
0.349300,0.279800,0.384700,0.362400,0.585200,0.968000,1.136400,1.247100,1.199900,1.396600,0.549674,-0.528496,0.019289,1.000000
0.349300,0.279800,0.384700,0.362400,0.585200,0.968000,1.136400,1.247100,1.199900,1.396600,0.549674,-0.528496,0.019289,1.000000
0.349300,0.279800,0.384700,0.362400,0.585200,0.968000,1.136400,1.247100,1.199900,1.396600,0.549674,-0.528496,0.019289,1.000000
0.397800,0.262800,0.389900,0.349300,0.562900,0.999400,1.167200,1.287100,1.242500,1.438500,0.573087,-0.535003,0.017631,1.000000
0.397800,0.262800,0.389900,0.349300,0.562900,0.999400,1.167200,1.287100,1.242500,1.438500,0.573087,-0.535003,0.017631,1.000000
0.455500,0.261500,0.385300,0.343400,0.560300,0.988300,1.148200,1.276600,1.211700,1.506600,0.576049,-0.536314,0.026082,1.000000
0.323100,0.205100,0.289700,0.262100,0.553100,1.014500,1.177700,1.352600,1.285800,1.455500,0.675358,-0.647202,0.025318,1.000000
0.308700,0.161200,0.256200,0.212300,0.439700,0.935800,1.167200,1.312000,1.262900,1.341500,0.721446,-0.673256,0.019069,1.000000
0.273900,0.262800,0.374900,0.367000,0.633100,1.069500,1.194700,1.546000,1.274700,1.142300,0.616309,-0.609662,0.096182,1.000000
0.273900,0.262800,0.374900,0.367000,0.633100,1.069500,1.194700,1.546000,1.274700,1.142300,0.616309,-0.609662,0.096182,1.000000
0.278500,0.147500,0.216300,0.176300,0.456800,1.175700,1.433900,1.662600,1.549900,1.450900,0.808255,-0.769759,0.035082,1.000000
0.278500,0.147500,0.216300,0.176300,0.456800,1.175700,1.433900,1.662600,1.549900,1.450900,0.808255,-0.769759,0.035082,1.000000
0.244400,0.175600,0.281800,0.243800,0.528900,0.842800,0.969300,0.771300,0.937200,1.190100,0.519653,-0.464818,-0.097103,1.000000
0.225400,0.268000,0.414800,0.372900,0.658600,1.095700,1.224800,1.269400,1.332300,1.239300,0.545881,-0.507422,-0.024177,1.000000
0.235300,0.199200,0.317200,0.286400,0.572800,1.052500,1.215700,1.251700,1.350700,1.277900,0.627593,-0.595640,-0.038042,1.000000
0.283100,0.145500,0.231300,0.176900,0.431900,1.116100,1.365100,1.466000,1.450300,1.464700,0.784649,-0.727450,0.005384,1.000000
0.297500,0.161900,0.285100,0.224800,0.448300,1.091200,1.328400,1.315900,1.401100,1.473900,0.708185,-0.643848,-0.031358,1.000000
0.278500,0.164500,0.282500,0.201200,0.443000,0.994200,1.169100,1.375600,1.267400,1.324500,0.744800,-0.659249,0.040938,1.000000
0.289000,0.152700,0.254300,0.192700,0.426000,1.019100,1.227500,1.542700,1.334300,1.382800,0.777919,-0.716973,0.072437,1.000000
0.268000,0.169100,0.285100,0.213600,0.507200,0.795600,0.905000,0.800200,0.878800,1.171800,0.578615,-0.474615,-0.046814,1.000000
0.302100,0.182800,0.271300,0.238500,0.469900,0.948300,1.104900,1.256300,1.189500,1.297600,0.680894,-0.644802,0.027312,1.000000
0.240500,0.186800,0.351900,0.297500,0.680900,0.985000,1.085900,1.061000,1.111500,1.200600,0.562017,-0.501876,-0.023245,1.000000
0.381400,0.226800,0.355200,0.316500,0.534100,1.082600,1.302800,1.437800,1.369000,1.403800,0.639172,-0.603793,0.024512,1.000000
0.353200,0.247700,0.350600,0.336200,0.549800,1.120000,1.347400,1.508600,1.405100,1.416900,0.635516,-0.622849,0.035522,1.000000
0.409600,0.244400,0.351300,0.331000,0.557000,1.043300,1.264200,1.456800,1.332300,1.390000,0.629713,-0.611415,0.044638,1.000000
0.477100,0.228100,0.320500,0.305400,0.593700,1.082000,1.315300,1.506600,1.407000,1.488300,0.662914,-0.649171,0.034185,1.000000
0.621300,0.331600,0.435800,0.457400,1.016400,1.430000,1.587900,1.614800,1.654800,1.673800,0.558537,-0.574954,-0.012234,1.000000
0.563600,0.277200,0.382100,0.374200,0.775300,1.241200,1.426700,1.489000,1.486300,1.579400,0.598326,-0.591577,9.074715E-4,1.000000
0.525600,0.281100,0.435800,0.416100,0.801500,1.259600,1.470600,1.473900,1.546600,1.700600,0.559683,-0.543593,-0.024069,1.000000
0.381400,0.239900,0.328300,0.304100,0.545900,1.154700,1.408300,1.577400,1.468600,1.498800,0.676747,-0.655455,0.035719,1.000000
0.570200,0.220200,0.385300,0.297500,0.682200,1.150800,1.258300,1.181600,1.245200,1.657400,0.597728,-0.508201,-0.026207,1.000000
0.570200,0.220200,0.385300,0.297500,0.682200,1.150800,1.258300,1.181600,1.245200,1.657400,0.597728,-0.508201,-0.026207,1.000000
0.406300,0.218900,0.321100,0.300200,0.554400,1.068200,1.220900,1.424100,1.282500,1.428000,0.651801,-0.632019,0.052317,1.000000
0.451500,0.184800,0.310600,0.258200,0.516400,1.099700,1.306800,1.523000,1.409700,1.534200,0.710083,-0.661213,0.038633,1.000000
0.386000,0.256900,0.363700,0.354500,0.631800,1.177000,1.311400,1.564300,1.420100,1.450900,0.630498,-0.622718,0.048318,1.000000
0.422700,0.201800,0.262800,0.262100,0.572800,1.145600,1.289700,1.576100,1.385400,1.457500,0.714830,-0.714177,0.064393,1.000000
